module,name,iteration_emergence
M00675,"Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate",65
M00637,"Anthranilate degradation, anthranilate => catechol",65
M00736,"Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",65
M00638,"Salicylate degradation, salicylate => gentisate",65
M00368,"Ethylene biosynthesis, methionine => ethylene",65
M00776,"Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin",65
M00533,"Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",65
M00568,"Catechol ortho-cleavage, catechol => 3-oxoadipate",65
M00538,"Toluene degradation, toluene => benzoate",65
M00624,"Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate",66
M00622,"Nicotinate degradation, nicotinate => fumarate",66
M00921,"Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin",66
M00569,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",66
M00894,"Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol",66
M00042,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",66
M00150,"Fumarate reductase, prokaryotes",67
M00545,"Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",67
M00374,Dicarboxylate-hydroxybutyrate cycle,67
M00830,"Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA",67
M00138,"Flavonoid biosynthesis, naringenin => pelargonidin",67
M00149,"Succinate dehydrogenase, prokaryotes",67
M00933,"Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol",67
M00661,"Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline",68
M00901,"Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline",68
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD",68
M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",68
M00674,"Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",68
M00044,"Tyrosine degradation, tyrosine => homogentisate",68
M00918,"Aerobactin biosynthesis, lysine => aerobactin",68
M00890,"Roseoflavin biosynthesis, FMN => roseoflavin",68
M00775,"Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",68
M00037,"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin",68
M00774,"Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",69
M00848,"Aurachin biosynthesis, anthranilate => aurachin A",69
M00112,"Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol",69
M00122,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",69
M00934,"Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II",70
M00773,"Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",70
M00117,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",70
M00372,"Abscisic acid biosynthesis, beta-carotene => abscisic acid",70
M00128,"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol",70
M00740,Methylaspartate cycle,71
M00567,"Methanogenesis, CO2 => methane",71
M00741,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",71
M00528,"Nitrification, ammonia => nitrite",71
M00375,Hydroxypropionate-hydroxybutylate cycle,71
M00376,3-Hydroxypropionate bi-cycle,71
M00357,"Methanogenesis, acetate => methane",71
M00804,"Complete nitrification, comammox, ammonia => nitrite => nitrate",71
M00900,"Crocin biosynthesis, crocetin => crocin",71
M00373,Ethylmalonyl pathway,72
M00142,"NADH:ubiquinone oxidoreductase, mitochondria",72
M00144,"NADH:quinone oxidoreductase, prokaryotes",72
M00145,"NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",72
M00903,"Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin",73
M00087,beta-Oxidation,75
M00086,"beta-Oxidation, acyl-CoA synthesis",76
M00100,Sphingosine degradation,78
M00066,Lactosylceramide biosynthesis,80
M00113,Jasmonic acid biosynthesis,100
