,name,Unmodified,Unmodified+Adenine,Modified (Primitive purine biosynthesis)
C05378,"beta-D-Fructose 1,6-bisphosphate",6.0,6,6
C20440,"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",6.0,6,6
C06893,2-Deoxy-5-keto-D-gluconic acid 6-phosphate,6.0,6,6
C05345,beta-D-Fructose 6-phosphate,7.0,7,7
C00636,D-Mannose 1-phosphate,7.0,7,7
C16848,6-Deoxy-5-ketofructose 1-phosphate,7.0,7,7
C06377,D-Galactosamine 6-phosphate,7.0,7,7
C00103,D-Glucose 1-phosphate,7.0,7,7
C20986,"D-Ribose 2,5-bisphosphate",7.0,7,7
C00199,D-Ribulose 5-phosphate,7.0,7,5
C21383,2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate,7.0,7,7
C00031,D-Glucose,7.0,7,7
C01113,D-Galactose 6-phosphate,7.0,7,7
C00357,N-Acetyl-D-glucosamine 6-phosphate,7.0,7,7
C00672,2-Deoxy-D-ribose 1-phosphate,7.0,7,7
C00067,Formaldehyde,7.0,7,7
C06156,alpha-D-Glucosamine 1-phosphate,7.0,7,7
C00663,beta-D-Glucose 1-phosphate,7.0,7,7
C04534,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose",8.0,8,8
C02306,Phosphoramidate,8.0,8,8
C00689,"alpha,alpha'-Trehalose 6-phosphate",8.0,8,8
C01112,D-Arabinose 5-phosphate,8.0,8,6
C01518,Nigerose,8.0,8,8
C00185,Cellobiose,8.0,8,8
C00095,D-Fructose,8.0,8,8
C00208,Maltose,8.0,8,8
C00668,alpha-D-Glucose 6-phosphate,8.0,8,8
C00963,beta-D-Glucoside,8.0,8,8
C02591,Sucrose 6'-phosphate,8.0,8,8
C20236,4-O-beta-D-Mannopyranosyl-D-glucopyranose,8.0,8,8
C15548,2-alpha-D-Glucosyl-D-glucose,8.0,8,8
C00267,alpha-D-Glucose,8.0,8,8
C18096,D-Allulose 6-phosphate,8.0,8,8
C02995,Maltose 6'-phosphate,8.0,8,8
C22029,alpha-D-Galactosamine 1-phosphate,8.0,8,8
C02048,Laminaribiose,8.0,8,8
C19792,2-O-(alpha-D-Glucopyranosyl)-D-glycerate,8.0,8,8
C01083,"alpha,alpha-Trehalose",8.0,8,8
C16698,N-Acetylmuramic acid 6-phosphate,8.0,8,8
C03394,Erythrulose 1-phosphate,8.0,8,8
C04501,N-Acetyl-alpha-D-glucosamine 1-phosphate,8.0,8,8
C01231,"alpha-D-Glucose 1,6-bisphosphate",8.0,8,8
C15556,"L-3,4-Dihydroxybutan-2-one 4-phosphate",8.0,8,6
C00117,D-Ribose 5-phosphate,8.0,7,6
C01172,beta-D-Glucose 6-phosphate,8.0,8,8
C06376,N-Acetyl-D-galactosamine 6-phosphate,8.0,8,8
C03847,6-Phospho-beta-D-galactoside,8.0,8,8
C00231,D-Xylulose 5-phosphate,8.0,8,6
C20934,3-Deoxy-D-glycero-D-galacto-non-2-ulosonic acid,8.0,8,8
C04257,N-Acetyl-D-mannosamine 6-phosphate,8.0,8,8
C01935,Maltodextrin,9.0,9,9
C02713,N-Acetylmuramate,9.0,9,9
C06241,N-Acetylneuraminate 9-phosphate,9.0,9,9
C01094,D-Fructose 1-phosphate,9.0,8,9
C21285,D-Erythrulose 1-phosphate,9.0,9,9
C00273,5-Dehydro-D-fructose,9.0,9,9
C02964,4-O-beta-D-Glucopyranosyl-D-mannose,9.0,9,9
C00159,D-Mannose,9.0,8,9
C00369,Starch,9.0,9,9
C01101,L-Ribulose 5-phosphate,9.0,9,7
C01898,Cellodextrin,9.0,9,9
C00221,beta-D-Glucose,9.0,9,9
C04478,3-Deoxy-D-manno-octulosonate 8-phosphate,9.0,9,7
C02962,D-Allose 6-phosphate,9.0,9,9
C00236,3-Phospho-D-glyceroyl phosphate,9.0,8,9
C22278,3-Oxoisoapionate 4-phosphate,9.0,9,9
C00018,Pyridoxal phosphate,9.0,8,7
C06468,D-Psicose,9.0,9,9
C03604,D-Erythrulose 4-phosphate,9.0,9,9
C22318,Apulose 4-phosphate,9.0,9,7
C06219,Cellotriose,9.0,9,9
C20861,Mannobiose,9.0,9,9
C00252,Isomaltose,9.0,9,9
C16688,Sucrose 6-phosphate,9.0,9,9
C00645,N-Acetyl-D-mannosamine,9.0,9,9
C19791,2-O-(alpha-D-Glucopyranosyl)-3-phospho-D-glycerate,9.0,9,9
C00620,alpha-D-Ribose 1-phosphate,9.0,7,7
C00089,Sucrose,9.0,9,9
C05396,Lactose 6'-phosphate,10.0,10,10
C21655,"Cyclobis-1,6-alpha-nigerosyl",10.0,10,10
C02209,beta-D-Mannose,10.0,10,10
C21336,"beta-1,2-Mannobiose",10.0,9,10
C00270,N-Acetylneuraminate,10.0,10,10
C03661,1F-beta-D-Fructosylsucrose,10.0,10,10
C00372,Dextran,10.0,10,10
C01187,3-Deoxy-D-manno-octulosonate,10.0,10,8
C02013,Cellotetraose,10.0,10,10
C11544,2-O-(alpha-D-Mannosyl)-D-glycerate,10.0,9,10
C02478,beta-D-Mannoside,10.0,9,10
Z00035,PLP,10.0,9,8
C21659,"alpha-Isomaltosyl-1,3-isomaltose",10.0,10,10
C00140,N-Acetyl-D-glucosamine,10.0,8,10
C00279,D-Erythrose 4-phosphate,10.0,10,10
C01742,Palatinose,10.0,10,10
C00577,D-Glyceraldehyde,10.0,8,10
C06400,1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside,10.0,10,10
C02336,beta-D-Fructose,10.0,8,10
C00721,Dextrin,10.0,10,10
C03291,L-Xylulose 5-phosphate,10.0,10,8
C01728,Mannobiose,10.0,9,10
C00250,Pyridoxal,10.0,9,8
C00973,Cyclomaltodextrin,10.0,10,10
C00534,Pyridoxamine,11.0,10,9
C11511,threo-3-Hydroxy-L-aspartate,11.0,10,9
C00820,D-Threonine,11.0,10,9
C20887,"beta-D-Mannosyl-1,4-N-acetyl-D-glucosamine",11.0,9,11
C06393,"2,3-Diaminopropanoate",11.0,10,9
C00065,L-Serine,11.0,10,9
C00041,L-Alanine,11.0,10,9
C00151,L-Amino acid,11.0,10,9
C00402,D-Aspartate,11.0,10,9
C12317,D-Allothreonine,11.0,10,9
C06218,Cellopentaose,11.0,11,11
C22097,(1->6)-alpha-D-Glucan containing a (1->3)-alpha-D-glucose branch,11.0,11,11
C00204,2-Dehydro-3-deoxy-D-gluconate,11.0,8,11
C00793,D-Cysteine,11.0,10,9
C22230,(1->6)-alpha-D-Glucan containing a (1->2)-alpha-D-glucose branch,11.0,11,11
C14899,3-Dehydro-L-gulonate 6-phosphate,11.0,11,9
C05519,L-Allothreonine,11.0,10,9
C01674,Chitobiose,11.0,9,11
C00025,L-Glutamate,11.0,10,9
C00329,D-Glucosamine,11.0,7,11
C00447,"Sedoheptulose 1,7-bisphosphate",11.0,11,11
C03708,N-Acetyl-O-acetylneuraminate,11.0,11,11
C05382,Sedoheptulose 7-phosphate,11.0,11,11
C11516,2-(alpha-D-Mannosyl)-3-phosphoglycerate,11.0,10,11
C04691,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,11.0,11,11
C01216,2-Dehydro-3-deoxy-D-galactonate,11.0,8,11
C00216,D-Arabinose,11.0,9,9
C00188,L-Threonine,11.0,10,9
C04540,N4-(Acetyl-beta-D-glucosaminyl)asparagine,11.0,9,11
C00097,L-Cysteine,11.0,10,9
C20904,2-Iminopropanoate,11.0,10,9
C21747,N-Acetyl-beta-D-glucosaminyl-(1->4)-D-glucosamine,12.0,10,12
C22151,Oxidized [2Fe-2S] ferredoxin,12.0,11,10
C00133,D-Alanine,12.0,11,10
C00064,L-Glutamine,12.0,11,10
C22154,[Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster,12.0,11,10
C07836,D-glycero-beta-D-manno-Heptose 7-phosphate,12.0,12,12
C00309,D-Ribulose,12.0,8,10
C06217,Cellohexaose,12.0,12,12
C05711,gamma-Glutamyl-beta-cyanoalanine,12.0,11,10
C00168,Hydroxypyruvate,12.0,11,10
C20845,"(4S,5R)-4,5,6-Trihydroxy-2-iminohexanoate",12.0,10,12
C05672,2-Amino-3-phosphonopropanoate,12.0,11,10
C19878,D-glycero-alpha-D-manno-Heptose 7-phosphate,12.0,12,12
C02999,N-Acetylmuramoyl-Ala,12.0,11,10
C03752,2-Amino-2-deoxy-D-gluconate,12.0,10,12
C06114,gamma-Glutamyl-beta-aminopropiononitrile,12.0,11,10
C00138,Reduced ferredoxin,12.0,11,10
C21282,2-epi-Valiolone,12.0,12,12
C21281,Demethyl-4-deoxygadusol,12.0,12,12
C22150,Reduced [2Fe-2S] ferredoxin,12.0,11,10
C00405,D-Amino acid,12.0,11,10
C00334,4-Aminobutanoate,12.0,11,10
C05723,Poly-gamma-D-glutamate,12.0,11,10
C00217,D-Glutamate,12.0,11,10
C00979,O-Acetyl-L-serine,12.0,11,10
C05947,L-erythro-4-Hydroxyglutamate,12.0,11,10
C00957,Mercaptopyruvate,12.0,11,10
C19882,D-glycero-D-manno-Heptose 7-phosphate,12.0,12,12
C16186,L-Ascorbate 6-phosphate,12.0,12,10
C00302,Glutamate,12.0,11,10
C01239,N-Acetyl-beta-D-glucosaminylamine,12.0,10,12
C22320,beta-D-Glucosaminyl-(1->4)-N-acetyl-D-glucosamine,12.0,10,12
C01419,Cys-Gly,12.0,11,10
C05931,N-Succinyl-L-glutamate,12.0,11,10
C00944,3-Dehydroquinate,12.0,12,12
C00139,Oxidized ferredoxin,12.0,11,10
C00109,2-Oxobutanoate,12.0,11,10
C05688,L-Selenocysteine,12.0,11,10
C03079,4-Hydroxy-L-glutamate,12.0,11,10
C01005,O-Phospho-L-serine,12.0,11,10
C00257,D-Gluconic acid,12.0,9,12
C21068,[5-(Aminomethyl)furan-3-yl]methyl phosphate,12.0,11,10
C00647,Pyridoxamine phosphate,12.0,11,10
C00740,D-Serine,12.0,11,10
C11529,N-Carbamoyl-L-amino acid,12.0,11,10
C12270,N-Acetylaspartylglutamate,12.0,11,10
C06216,Celloheptaose,13.0,13,13
C05226,N-Carbamoyl-D-amino acid,13.0,12,11
C15767,4-(L-gamma-Glutamylamino)butanoate,13.0,12,11
C00266,Glycolaldehyde,13.0,10,11
C02356,(S)-2-Aminobutanoate,13.0,12,11
C02532,O-Phospho-D-serine,13.0,12,11
C05704,Selenocystine,13.0,12,11
C05705,Selenocysteine seleninic acid,13.0,12,11
C00121,D-Ribose,13.0,8,9
C00198,"D-Glucono-1,5-lactone",13.0,10,13
Z00004,Ascorbate,13.0,13,11
C00993,D-Alanyl-D-alanine,13.0,12,11
C06030,Methyloxaloacetate,13.0,12,11
C00237,CO,13.0,12,11
Z00044,Selenocysteine,13.0,12,11
C20844,"(2Z,4S,5R)-2-Amino-4,5,6-trihydroxyhex-2-enoate",13.0,11,13
C00155,L-Homocysteine,13.0,12,11
C20905,2-Iminobutanoate,13.0,12,11
C20776,N-Acetylaspartylglutamylglutamate,13.0,11,11
C00975,Dihydroxyfumarate,13.0,11,11
C05383,Aminosugar,13.0,11,13
C05715,gamma-Amino-gamma-cyanobutanoate,13.0,12,11
C02291,L-Cystathionine,13.0,12,11
C02671,D-Glutamyl-peptide,13.0,12,11
C00232,Succinate semialdehyde,13.0,12,11
C00819,D-Glutamine,13.0,12,11
C21858,N-(4-Oxoglutaryl)-L-cysteinylglycine,13.0,12,11
C01234,1-Aminocyclopropane-1-carboxylate,13.0,12,11
C05699,L-Selenocystathionine,13.0,12,11
Z00016,Ferredoxin,13.0,12,11
C02237,5-Oxo-D-proline,13.0,12,11
C21559,N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate,13.0,12,11
C02946,4-Acetamidobutanoate,13.0,12,11
C03232,3-Phosphonooxypyruvate,13.0,11,11
C20888,Cellobionate,13.0,10,13
C01146,2-Hydroxy-3-oxopropanoate,13.0,11,11
C03738,gamma-L-Glutamyl-D-alanine,13.0,12,11
C00051,Glutathione,13.0,12,11
C03459,2-Hydroxy-3-oxosuccinate,14.0,11,12
C03933,5-D-Glutamyl-D-glutamyl-peptide,14.0,13,12
C05702,O-Phosphorylhomoserine,14.0,13,12
C01879,5-Oxoproline,14.0,11,12
C01031,S-Formylglutathione,14.0,13,12
C06441,L-Xylulose 1-phosphate,14.0,11,12
C22337,D-Ribulose 1-phosphate,14.0,9,12
C05601,4-Hydroxy-2-oxo-heptanedioate,14.0,13,12
C06201,"2,4-Dihydroxyhept-2-enedioate",14.0,13,12
C05698,Selenohomocysteine,14.0,13,12
C03921,2-Dehydro-3-deoxy-D-glucarate,14.0,12,12
Z00023,Glutathione,14.0,13,12
C00679,5-Dehydro-4-deoxy-D-glucarate,14.0,12,12
C14180,S-(Hydroxymethyl)glutathione,14.0,13,12
C03451,(R)-S-Lactoylglutathione,14.0,13,12
C17234,2-Aminobut-2-enoate,14.0,13,12
C00542,Cystathionine,14.0,13,12
C16690,5-L-Glutamyl-D-glutamyl-peptide,14.0,13,12
C00441,L-Aspartate 4-semialdehyde,14.0,13,12
C03826,2-Dehydro-3-deoxy-D-xylonate,14.0,11,12
C01077,O-Acetyl-L-homoserine,14.0,13,12
C01118,O-Succinyl-L-homoserine,14.0,13,12
C03740,(5-L-Glutamyl)-L-amino acid,14.0,12,12
C00684,2-Dehydro-3-deoxy-L-arabinonate,14.0,11,12
C03618,L-threo-3-Methylaspartate,14.0,13,12
C03063,2-Oxohept-3-enedioate,15.0,14,13
C03283,"L-2,4-Diaminobutanoate",15.0,14,13
C12115,3-Amino-4-hydroxybenzoate,15.0,14,13
C20644,"2-Amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate",15.0,14,13
C05707,Selenohomocystine,15.0,14,13
C05600,"2-Hydroxyhepta-2,4-dienedioate",15.0,14,13
C00669,gamma-L-Glutamyl-L-cysteine,15.0,11,13
C16849,Hydroxypyruvaldehyde phosphate,15.0,14,13
C20258,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",15.0,14,13
C00433,"2,5-Dioxopentanoate",15.0,12,13
C16850,"2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid",15.0,14,13
C19929,"N(alpha)-Acetyl-L-2,4-diaminobutyrate",16.0,15,14
C04052,5-Carboxy-2-oxohept-3-enedioate,16.0,15,14
C05941,2-Oxo-4-hydroxy-5-aminovalerate,16.0,13,14
C04282,1-Pyrroline-4-hydroxy-2-carboxylate,16.0,13,14
C00986,"1,3-Diaminopropane",16.0,15,14
C04186,5-Carboxymethyl-2-hydroxymuconate,17.0,16,15
C06231,Ectoine,17.0,16,15
C05942,Pyrrole-2-carboxylate,17.0,14,15
C06442,N(gamma)-Acetyldiaminobutyrate,18.0,17,16
C19907,Pyrrole,18.0,15,16
Z00056,Dipyrromethane,19.0,16,17
C00147,Adenine,,0,19
C00262,Hypoxanthine,,1,18
C00020,AMP,,6,20
C00008,ADP,,7,21
C00054,"Adenosine 3',5'-bisphosphate",,7,21
C00212,Adenosine,,7,19
C22092,5'-O-Phosphonoadenylyl-(3'->5')-adenosine,,7,21
C00119,5-Phospho-alpha-D-ribose 1-diphosphate,,7,6
C03794,"N6-(1,2-Dicarboxyethyl)-AMP",,7,21
C00130,IMP,,7,17
C00002,ATP,,7,21
C05512,Deoxyinosine,,8,19
C20190,"P1,P6-Bis(5'-adenosyl)hexaphosphate",,8,22
C00795,D-Tagatose,,8,22
C00559,Deoxyadenosine,,8,20
C20969,Carboxyphosphate,,8,22
C00104,IDP,,8,18
C02405,Formyl phosphate,,8,22
C01367,3'-AMP,,8,20
C00665,"beta-D-Fructose 2,6-bisphosphate",,8,22
C00169,Carbamoyl phosphate,,8,22
C01260,"P1,P4-Bis(5'-adenosyl)tetraphosphate",,8,22
C20565,"Cyclic di-3',5'-adenylate",,8,22
C03090,5-Phosphoribosylamine,,8,7
C00192,Hydroxylamine,,8,22
C00498,ADP-glucose,,8,22
C00301,ADP-ribose,,8,21
C01185,Nicotinate D-ribonucleotide,,8,7
C02739,1-(5-Phospho-D-ribosyl)-ATP,,8,22
C22350,Levoglucosan,,8,22
C03082,4-Phospho-L-aspartate,,8,22
C03064,3-Dehydro-L-threonate,,8,22
C21612,3-Dehydro-L-erythronate,,8,22
C00081,ITP,,8,18
C22361,Glycyl-AMP,,8,22
C04058,Bis(5'-adenosyl) pentaphosphate,,8,22
C05172,Selenophosphoric acid,,8,22
C01801,Deoxyribose,,8,22
C06892,2-Deoxy-5-keto-D-gluconic acid,,8,22
C00575,"3',5'-Cyclic AMP",,8,22
C00294,Inosine,,8,18
C04734,1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,,8,16
C03838,5'-Phosphoribosylglycinamide,,9,8
C20237,alpha-Maltose 1-phosphate,,9,22
C03483,Adenosine tetraphosphate,,9,23
C04677,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,,9,15
C20198,Adenosine 5'-pentaphosphate,,9,23
C02045,L-Erythrulose,,9,22
C03267,beta-D-Fructose 2-phosphate,,9,23
C00438,N-Carbamoyl-L-aspartate,,9,23
C00857,Deamino-NAD+,,9,21
C22131,3''-O-Acetyl-ADP-D-ribose,,9,22
C00764,D-Sorbose,,9,23
C03124,beta-L-Aspartylhydroxamate,,9,23
C02741,Phosphoribosyl-AMP,,9,23
C13050,Cyclic ADP-ribose,,9,22
C21617,2-Dehydro-D-erythronate,,9,23
C16737,5-Deoxy-D-glucuronate,,9,23
C00360,dAMP,,9,21
C05841,Nicotinate D-ribonucleoside,,9,8
C21618,2-Dehydro-L-erythronate,,9,23
C00253,Nicotinate,,9,9
C00943,"3',5'-Cyclic IMP",,9,23
C00310,D-Xylulose,,9,22
C00802,Oxalureate,,9,23
C02353,"2',3'-Cyclic AMP",,9,21
C00455,Nicotinamide D-ribonucleotide,,9,8
C00003,NAD+,,10,22
C05380,Nicotinurate,,10,22
C04896,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,,10,24
C04376,5'-Phosphoribosyl-N-formylglycinamide,,10,9
C03150,Nicotinamide-beta-riboside,,10,9
C21027,N-Acetylmuramic acid alpha-1-phosphate,,10,22
C00476,D-Lyxose,,10,23
C04823,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,,10,14
C22220,3-Oxoisoapionate,,10,22
C02022,D-Erythrulose,,10,22
C21851,"Pyridinium-3,5-biscarboxylic acid mononucleotide",,10,22
C04051,5-Amino-4-imidazolecarboxyamide,,10,16
C00206,dADP,,10,22
C00508,L-Ribulose,,10,22
C03703,L-5-Carboxymethylhydantoin,,10,24
C00345,6-Phospho-D-gluconate,,10,22
C00337,(S)-Dihydroorotate,,10,24
C00153,Nicotinamide,,10,9
C01487,D-Allose,,10,22
C00181,D-Xylose,,10,23
Z00032,NAD/NADP,,10,22
C01218,6-Phospho-2-dehydro-D-gluconate,,11,23
C00794,D-Sorbitol,,11,23
C03589,4-Hydroxy-2-oxopentanoate,,11,23
C12147,L-Threonine O-3-phosphate,,11,22
C00131,dATP,,11,23
C02266,D-Xylonolactone,,11,24
C00162,Fatty acid,,11,23
C22351,3-Dehydrolevoglucosan,,11,23
C11822,2-Aminomalonate semialdehyde,,11,23
C00491,L-Cystine,,11,23
C00655,Xanthosine 5'-phosphate,,11,23
C03287,L-Glutamyl 5-phosphate,,11,22
C00652,"D-Arabinono-1,4-lactone",,11,23
C00006,NADP+,,11,23
C20784,ADP-5-ethyl-4-methylthiazole-2-carboxylate,,11,23
C00259,L-Arabinose,,11,23
C22363,(L-Alanyl)adenylate,,11,22
C20775,beta-Citryl-L-glutamate,,11,22
C01062,5-Dehydro-D-gluconate,,11,23
C03393,4-Phospho-D-erythronate,,11,23
C15498,ROOH,,11,23
C22366,(L-Glutamyl)adenylate,,11,22
C00004,NADH,,11,23
C06735,Aminoacetaldehyde,,11,23
C00060,Carboxylate,,11,23
C16116,L-Aminoacyl-L-amino acid,,11,22
C04349,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate",,11,23
C04006,1D-myo-Inositol 3-phosphate,,11,23
C04751,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,,11,13
C00971,4-Pyridoxolactone,,11,23
