,cid,formula,name,num_rgroup,electrons,reduction,water_amt,water_per_c
153,C00158,C6H8O7,"Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid",0,100.0,1.5,5.0,0.8333333333333334
154,C00159,C6H12O6,D-Mannose; Mannose; Seminose; Carubinose,0,96.0,2.0,6.0,1.0
155,C00160,C2H4O3,Glycolate; Glycolic acid; Hydroxyacetic acid,0,40.0,1.5,1.0,0.5
158,C00163,C3H6O2,Propanoate; Propionate; Propanoic acid; Propionic acid,0,40.0,2.3333333333333335,4.0,1.3333333333333333
159,C00164,C4H6O3,Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid,0,54.0,2.0,5.0,1.25
161,C00166,C9H8O3,Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate,0,86.0,2.111111111111111,15.0,1.6666666666666667
163,C00168,C3H4O4,Hydroxypyruvate; Hydroxypyruvic acid; 3-Hydroxypyruvate; 3-Hydroxypyruvic acid,0,54.0,1.3333333333333333,2.0,0.6666666666666666
175,C00180,C7H6O2,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid,0,64.0,2.142857142857143,12.0,1.7142857142857142
176,C00181,C5H10O5,D-Xylose; Wood sugar,0,80.0,2.0,5.0,1.0
177,C00182,C24H42O21,Glycogen,0,354.0,2.0,27.0,1.125
179,C00184,C3H6O3,"Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one",0,48.0,2.0,3.0,1.0
180,C00185,C12H22O11,Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose,0,182.0,2.0,13.0,1.0833333333333333
181,C00186,C3H6O3,(S)-Lactate; L-Lactate; L-Lactic acid,0,48.0,2.0,3.0,1.0
182,C00187,C27H46O,Cholesterol; Cholest-5-en-3beta-ol,0,216.0,2.814814814814815,53.0,1.962962962962963
186,C00191,C6H10O7,D-Glucuronate; Glucuronic acid; Glucuronate,0,102.0,1.6666666666666667,5.0,0.8333333333333334
188,C00193,C7H6O,Aromatic aldehyde,0,56.0,2.2857142857142856,13.0,1.8571428571428572
191,C00196,C7H6O4,"2,3-Dihydroxybenzoate; 2,3-Dihydroxybenzoic acid",0,80.0,1.8571428571428572,10.0,1.4285714285714286
193,C00198,C6H10O6,"D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone",0,94.0,1.8333333333333333,6.0,1.0
199,C00204,C6H10O6,2-Dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-D-gluconate,0,94.0,1.8333333333333333,6.0,1.0
202,C00207,C3H6O,Acetone; Dimethyl ketone; 2-Propanone,0,32.0,2.6666666666666665,5.0,1.6666666666666667
203,C00208,C12H22O11,Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose,0,182.0,2.0,13.0,1.0833333333333333
204,C00209,C2H2O4,Oxalate; Oxalic acid; Ethanedioic acid,0,46.0,0.5,0.0,0.0
211,C00216,C5H10O5,D-Arabinose,0,80.0,2.0,5.0,1.0
214,C00219,C20H32O2,"Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid",0,168.0,2.7,38.0,1.9
216,C00221,C6H12O6,beta-D-Glucose,0,,2.0,6.0,1.0
217,C00222,C3H4O3,3-Oxopropanoate; Malonate semialdehyde,0,46.0,1.6666666666666667,3.0,1.0
224,C00230,C7H6O4,"3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid",0,80.0,1.8571428571428572,10.0,1.4285714285714286
226,C00232,C4H6O3,Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate,0,54.0,2.0,5.0,1.25
227,C00233,C6H10O3,4-Methyl-2-oxopentanoate; 2-Oxoisocaproate,0,70.0,2.3333333333333335,9.0,1.5
237,C00243,C12H22O11,Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar,0,182.0,2.0,13.0,1.0833333333333333
240,C00246,C4H8O2,Butanoic acid; Butanoate; Butyrate; Butyric acid,0,48.0,2.5,6.0,1.5
241,C00247,C6H12O6,L-Sorbose; L-xylo-Hexulose,0,96.0,2.0,6.0,1.0
243,C00249,C16H32O2,Hexadecanoic acid; Hexadecanoate; Hexadecylic acid; Palmitic acid; Palmitate; Cetylic acid,0,144.0,2.875,30.0,1.875
245,C00251,C10H10O6,"Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate",0,118.0,1.9,14.0,1.4
246,C00252,C12H22O11,Isomaltose; Brachiose,0,182.0,2.0,13.0,1.0833333333333333
248,C00254,C10H10O6,Prephenate; Prephenic acid,0,118.0,1.9,14.0,1.4
250,C00256,C3H6O3,(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid,0,48.0,2.0,3.0,1.0
251,C00257,C6H12O7,D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid,0,104.0,1.8333333333333333,5.0,0.8333333333333334
252,C00258,C3H6O4,D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid,0,56.0,1.6666666666666667,2.0,0.6666666666666666
253,C00259,C5H10O5,L-Arabinose; L-Arabinopyranose,0,80.0,2.0,5.0,1.0
254,C00261,C7H6O,Benzaldehyde; Benzoic aldehyde,0,56.0,2.2857142857142856,13.0,1.8571428571428572
259,C00266,C2H4O2,Glycolaldehyde; Hydroxyacetaldehyde,0,32.0,2.0,2.0,1.0
260,C00267,C6H12O6,alpha-D-Glucose,0,,2.0,6.0,1.0
265,C00273,C6H10O6,5-Dehydro-D-fructose,0,94.0,1.8333333333333333,6.0,1.0
268,C00280,C19H26O2,"Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione",0,156.0,2.5789473684210527,36.0,1.894736842105263
273,C00288,HCO3,HCO3-; Bicarbonate; Hydrogencarbonate; Acid carbonate,0,32.0,-0.5,-1.0,-1.0
279,C00296,C7H12O6,Quinate; Quinic acid; Kinic acid; Chinic acid; L-Quinic acid; L-Quinate; (-)-Quinic acid,0,102.0,2.0,8.0,1.1428571428571428
292,C00309,C5H10O5,D-Ribulose; D-erythro-2-Pentulose; D-Arabinoketose; D-Arabinulose; D-Riboketose,0,80.0,2.0,5.0,1.0
293,C00310,C5H10O5,D-Xylulose; D-threo-Pentulose; D-Lyxulose,0,80.0,2.0,5.0,1.0
294,C00311,C6H8O7,"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid",0,100.0,1.5,5.0,0.8333333333333334
295,C00312,C5H10O5,L-Xylulose; L-threo-Pentulose; L-Lyxulose,0,80.0,2.0,5.0,1.0
299,C00317,C30H52O26,Amylopectin,0,440.0,2.0,34.0,1.1333333333333333
303,C00322,C6H8O5,2-Oxoadipate; 2-Oxoadipic acid,0,84.0,1.8333333333333333,7.0,1.1666666666666667
314,C00333,C6H10O7,D-Galacturonate; D-Galacturonic acid,0,102.0,1.6666666666666667,5.0,0.8333333333333334
328,C00349,C4H6O3,2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde,0,54.0,2.0,5.0,1.25
346,C00370,C17H28O,Sterol,0,138.0,2.764705882352941,33.0,1.9411764705882353
352,C00376,C20H28O,Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene,0,156.0,2.65,39.0,1.95
355,C00379,C5H12O5,Xylitol,0,82.0,2.2,5.0,1.0
358,C00383,C3H4O4,Malonate; Malonic acid; Propanedioic acid,0,54.0,1.3333333333333333,2.0,0.6666666666666666
364,C00389,C15H10O7,"Quercetin; 3,3',4,5,7-Pentahydroxyflavone; 3,5,7,3',4'-Pentahydroxyflavone",0,156.0,1.8666666666666667,23.0,1.5333333333333334
367,C00392,C6H14O6,Mannitol; D-Mannitol,0,98.0,2.1666666666666665,6.0,1.0
375,C00400,C10H20O,(-)-Menthol; L-Menthol,0,88.0,2.9,19.0,1.9
385,C00410,C21H30O2,"Progesterone; 4-Pregnene-3,20-dione",0,172.0,2.619047619047619,40.0,1.9047619047619047
389,C00414,C6H10O,Cyclohexanone,0,54.0,2.6666666666666665,11.0,1.8333333333333333
392,C00417,C6H6O6,cis-Aconitate; cis-Aconitic acid,0,90.0,1.5,6.0,1.0
393,C00418,C6H12O4,"(R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid",0,80.0,2.3333333333333335,8.0,1.3333333333333333
397,C00423,C9H8O2,trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate,0,78.0,2.2222222222222223,16.0,1.7777777777777777
398,C00424,C3H6O2,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,0,40.0,2.3333333333333335,4.0,1.3333333333333333
400,C00427,C20H32O5,"Prostaglandin H2; (5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate; (5Z,13E,15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate; PGH2; (5Z,9alpha,11alpha,13E,15S)-9,11-Epidioxy-15-hydroxy-prosta-5,13-dienoate",0,192.0,2.55,35.0,1.75
404,C00433,C5H6O4,"2,5-Dioxopentanoate; 2-Oxoglutarate semialdehyde",0,68.0,1.8,6.0,1.2
420,C00451,C6H8O7,"(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate; D-threo-Isocitric acid",0,100.0,1.5,5.0,0.8333333333333334
430,C00466,C4H8O2,Acetoin; 2-Acetoin; 3-Hydroxybutan-2-one; 3-Hydroxy-2-butanone; Dimethylketol,0,48.0,2.5,6.0,1.5
431,C00468,C18H22O2,"Estrone; 3-Hydroxy-1,3,5(10)-estratrien-17-one",0,146.0,2.5,34.0,1.8888888888888888
432,C00469,C2H6O,Ethanol; Ethyl alcohol; Methylcarbinol,0,26.0,3.0,3.0,1.5
434,C00472,C6H4O2,"p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone",0,56.0,2.0,10.0,1.6666666666666667
435,C00473,C20H30O,Retinol; all-trans-Retinol; Vitamin A; Vitamin A1,0,158.0,2.7,39.0,1.95
436,C00474,C5H12O5,Ribitol; Adonitol,0,82.0,2.2,5.0,1.0
438,C00476,C5H10O5,D-Lyxose,0,80.0,2.0,5.0,1.0
439,C00477,C27H44O6,Ecdysone,0,254.0,2.5925925925925926,48.0,1.7777777777777777
440,C00478,C6H10O5,Lichenin; Lichenan,0,86.0,2.0,7.0,1.1666666666666667
441,C00479,C3H6O,Propanal; Propionaldehyde,0,32.0,2.6666666666666665,5.0,1.6666666666666667
444,C00482,C11H12O5,"Sinapate; Sinapic acid; 3,5-Dimethoxy-4-hydroxycinnamic acid",0,118.0,2.090909090909091,17.0,1.5454545454545454
450,C00489,C5H8O4,"Glutarate; Glutaric acid; Pentanedioic acid; 1,3-Propanedicarboxylic acid",0,70.0,2.0,6.0,1.2
451,C00490,C5H6O4,Itaconate; Itaconic acid; Methylenesuccinic acid,0,68.0,1.8,6.0,1.2
453,C00492,C18H32O16,Raffinose; Melitose; Melitriose; Gossypose; 6G-alpha-D-galactosylsucrose,0,268.0,2.0,20.0,1.1111111111111112
454,C00493,C7H10O5,"Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid",0,92.0,2.0,9.0,1.2857142857142858
456,C00495,C17H16O7,Sulochrin,0,174.0,2.0588235294117645,27.0,1.588235294117647
458,C00497,C4H6O5,(R)-Malate; D-Malate; D-Malic acid,0,70.0,1.5,3.0,0.75
463,C00502,C5H10O6,D-Xylonate,0,88.0,1.8,4.0,0.8
464,C00503,C4H10O4,Erythritol; Erythrol; Phycitol; Phycite; Erythrite,0,66.0,2.25,4.0,1.0
468,C00507,C6H12O5,L-Rhamnose; 6-Deoxy-L-mannose; L-Mannomethylose; L-Rhamnopyranose,0,88.0,2.1666666666666665,7.0,1.1666666666666667
469,C00508,C5H10O5,L-Ribulose; L-erythro-Pentulose; L-Arabinoketose; L-Arabinulose; L-Riboketose,0,80.0,2.0,5.0,1.0
470,C00509,C15H12O5,"Naringenin; 4',5,7-Trihydroxyflavanone; (2S)-Naringenin; (-)-(2S)-Naringenin",0,142.0,2.066666666666667,25.0,1.6666666666666667
472,C00511,C3H4O2,Acrylic acid; Propenoate; Acrylate; 2-Propenoic acid; Vinylformic acid,0,38.0,2.0,4.0,1.3333333333333333
475,C00514,C6H12O7,D-Mannonate,0,104.0,1.8333333333333333,5.0,0.8333333333333334
478,C00517,C16H32O,Hexadecanal; Palmitaldehyde,0,136.0,2.9375,31.0,1.9375
482,C00522,C6H12O4,(R)-Pantoate; Pantoate; Pantoic acid,0,80.0,2.3333333333333335,8.0,1.3333333333333333
483,C00523,C19H30O2,Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one,0,160.0,2.6842105263157894,36.0,1.894736842105263
489,C00530,C6H6O2,"Hydroquinone; p-Benzenediol; 1,4-Benzenediol; 1,4-Dihydroxybenzene; Benzene-1,4-diol; Quinol; 4-Hydroxyphenol",0,58.0,2.1666666666666665,10.0,1.6666666666666667
491,C00532,C5H12O5,L-Arabitol; L-Arabinol; L-Arabinitol; L-Lyxitol,0,82.0,2.2,5.0,1.0
494,C00535,C19H28O2,Testosterone; 17beta-Hydroxy-4-androsten-3-one,0,158.0,2.6315789473684212,36.0,1.894736842105263
497,C00539,C7H6O2,Aromatic acid; Aromatic carboxylic acid,0,64.0,2.142857142857143,12.0,1.7142857142857142
502,C00544,C8H8O4,"Homogentisate; Homogentisic acid; 2,5-Dihydroxyphenylacetic acid; 2,5-Dihydroxyphenylacetate",0,88.0,2.0,12.0,1.5
503,C00545,C5H10O6,L-Arabinonate,0,88.0,1.8,4.0,0.8
504,C00546,C3H4O2,Methylglyoxal; Pyruvaldehyde; Pyruvic aldehyde; 2-Ketopropionaldehyde; 2-Oxopropanal,0,38.0,2.0,4.0,1.3333333333333333
506,C00548,C8H8O2,"Phenyl acetate; Acetylphenol; Acetic acid,phenyl ester",0,72.0,2.25,14.0,1.75
510,C00552,C4H6O6,meso-Tartaric acid; meso-Tartrate,0,78.0,1.25,2.0,0.5
511,C00553,C10H20O,(+)-Neomenthol,0,88.0,2.9,19.0,1.9
513,C00556,C7H8O,Benzyl alcohol; alpha-Hydroxytoluene; Benzenemethanol; Phenylmethanol; Phenylcarbinol; Hydroxymethylbenzene,0,58.0,2.4285714285714284,13.0,1.8571428571428572
514,C00557,C5H8O,Cyclopentanone,0,46.0,2.6,9.0,1.8
515,C00558,C6H10O7,D-Tagaturonate; D-Tagaturonic acid,0,102.0,1.6666666666666667,5.0,0.8333333333333334
530,C00577,C3H6O3,D-Glyceraldehyde,0,48.0,2.0,3.0,1.0
535,C00583,C3H8O2,"Propane-1,2-diol; 1,2-Propanediol; Propylene glycol",0,42.0,2.6666666666666665,4.0,1.3333333333333333
536,C00584,C20H32O5,"Prostaglandin E2; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate; Dinoprostone; PGE2",0,192.0,2.55,35.0,1.75
538,C00586,C6H12O5,2-Deoxy-D-glucose; 2-Deoxy-D-arabino-hexose; D-arabino-2-Deoxyhexose,0,88.0,2.1666666666666665,7.0,1.1666666666666667
539,C00587,C7H6O3,3-Hydroxybenzoate; 3-Hydroxybenzoic acid; m-Hydroxybenzoic acid,0,72.0,2.0,11.0,1.5714285714285714
541,C00590,C10H12O3,Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol; trans-Coniferyl alcohol,0,96.0,2.3,17.0,1.7
544,C00596,C5H6O3,"2-Hydroxy-2,4-pentadienoate; cis-2-Hydroxypenta-2,4-dienoate; Oxopent-4-enoate; 2-Oxopent-4-enoate; 2-Hydroxypenta-2,4-dienoate",0,60.0,2.0,7.0,1.4
546,C00599,C27H44O,Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one,0,214.0,2.7777777777777777,53.0,1.962962962962963
547,C00601,C8H8O,Phenylacetaldehyde; alpha-Tolualdehyde,0,64.0,2.375,15.0,1.875
563,C00618,C6H10O7,3-Dehydro-L-gulonate,0,102.0,1.6666666666666667,5.0,0.8333333333333334
564,C00619,C19H28O,3-Oxo-delta4-steroid,0,150.0,2.6842105263157894,37.0,1.9473684210526316
571,C00628,C7H6O4,"2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate",0,80.0,1.8571428571428572,10.0,1.4285714285714286
575,C00633,C7H6O2,4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,0,64.0,2.142857142857143,12.0,1.7142857142857142
581,C00639,C20H34O5,"Prostaglandin F2alpha; (5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate; (+)-Prostaglandin F2a; 7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid; 9a,11a-PGF2; Amoglandin; Cyclosin; Dinoprost; Enzaprost; Enzaprost F; Panacelan; PGF2a; 9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-oic acid; Prostaglandin F2a; Prostin F 2 alpha; Protamodin; U 14583; (5Z,9alpha,11alpha,13E,15S)-9,11,15-Trihydroxyprosta-5,13-dienoate",0,194.0,2.6,35.0,1.75
584,C00642,C8H8O3,4-Hydroxyphenylacetate; 4-Hydroxyphenylacetic acid,0,80.0,2.125,13.0,1.625
591,C00652,C5H8O5,"D-Arabinono-1,4-lactone",0,78.0,1.8,5.0,1.0
595,C00659,C6H10O4,2-Aceto-2-hydroxybutanoate,0,78.0,2.1666666666666665,8.0,1.3333333333333333
606,C00671,C6H10O3,(S)-3-Methyl-2-oxopentanoic acid; (S)-3-Methyl-2-oxopentanoate; (3S)-3-Methyl-2-oxopentanoic acid; (3S)-3-Methyl-2-oxopentanoate,0,70.0,2.3333333333333335,9.0,1.5
609,C00674,C19H28O2,"5alpha-Androstane-3,17-dione; Androstanedione",0,158.0,2.6315789473684212,36.0,1.894736842105263
613,C00679,C6H8O7,5-Dehydro-4-deoxy-D-glucarate,0,100.0,1.5,5.0,0.8333333333333334
616,C00682,C6H6O4,2-Hydroxymuconate semialdehyde; 2-Hydroxymuconic semialdehyde; 2-Hydroxymuconate-6-semialdehyde,0,74.0,1.8333333333333333,8.0,1.3333333333333333
618,C00684,C5H8O5,2-Dehydro-3-deoxy-L-arabinonate; 2-Dehydro-3-deoxy-L-pentonate,0,78.0,1.8,5.0,1.0
623,C00691,C6H10O6,"2,4,6/3,5-Pentahydroxycyclohexanone; scyllo-Inosose; 2-Inosose",0,94.0,1.8333333333333333,6.0,1.0
627,C00695,C24H40O5,"Cholic acid; Cholate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanic acid",0,224.0,2.625,43.0,1.7916666666666667
628,C00696,C20H32O5,"Prostaglandin D2; (5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; (5Z,13E,15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; PGD2",0,192.0,2.55,35.0,1.75
639,C00711,C4H6O5,Malate; Malic acid; 2-Hydroxybutanedioic acid,0,70.0,1.5,3.0,0.75
640,C00712,C18H34O2,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,0,158.0,2.8333333333333335,34.0,1.8888888888888888
641,C00713,C18H32O16,Panose,0,268.0,2.0,20.0,1.1111111111111112
654,C00727,C7H8O2,"Orcinol; 5-Methyl-1,3-benzenediol; 5-Methylresorcinol; 3,5-Toluenediol; 3,5-Dihydroxytoluene",0,66.0,2.2857142857142856,12.0,1.7142857142857142
658,C00735,C21H30O5,"Cortisol; Hydrocortisone; 11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione; Kendall's compound F; Reichstein's substance M",0,196.0,2.4761904761904763,37.0,1.7619047619047619
660,C00737,C6H12O6,D-Aldose; D-Aldose1; D-Aldose2,0,96.0,2.0,6.0,1.0
661,C00738,C6H12O6,D-Hexose; Hexose,0,,2.0,6.0,1.0
664,C00741,C4H6O2,"Diacetyl; Biacetyl; Dimethylglyoxal; 2,3-Butanedione",0,46.0,2.25,6.0,1.5
675,C00755,C8H8O3,4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde,0,80.0,2.125,13.0,1.625
676,C00756,C8H18O,1-Octanol,0,74.0,3.0,15.0,1.875
678,C00758,C11H6O4,Bergaptol; 5-Hydroxypsoralen; 5-Hydroxyfuranocoumarin,0,104.0,1.9090909090909092,18.0,1.6363636363636365
681,C00761,C16H22O8,Coniferin,0,182.0,2.1875,24.0,1.5
682,C00762,C21H28O5,"Cortisone; 17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione; Kendall's compound E; Reichstein's substance Fa",0,194.0,2.4285714285714284,37.0,1.7619047619047619
684,C00764,C6H12O6,D-Sorbose; D-xylo-Hexulose,0,96.0,2.0,6.0,1.0
685,C00765,C56H92O29,Digitonin,0,660.0,2.3035714285714284,83.0,1.4821428571428572
686,C00766,C15H12O2,"Flavanone; 2,3-Dihydroflavone",0,118.0,2.2666666666666666,28.0,1.8666666666666667
688,C00770,C6H12O7,L-Idonate,0,104.0,1.8333333333333333,5.0,0.8333333333333334
690,C00772,C6H10O4,Mevaldate; Mevaldic acid,0,78.0,2.1666666666666665,8.0,1.3333333333333333
692,C00774,C15H14O5,Phloretin,0,144.0,2.1333333333333333,25.0,1.6666666666666667
694,C00777,C20H28O2,"Retinoate; Retinoic acid; Vitamin A acid; all-trans-Retinoate; Acide retinoique (French) (DSL); Tretinoine (French) (EINECS); 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL); (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; beta-Retinoic acid; AGN 100335; all-(E)-Retinoic acid; all-trans-beta-Retinoic acid; all-trans-Retinoic acid; all-trans-Tretinoin; all-trans-Vitamin A acid; Ro 1-5488; trans-Retinoic acid; Tretin M; all-trans-Vitamin A1 acid",0,164.0,2.6,38.0,1.9
696,C00779,C10H10O4,"Scytalone; 3,4-Dihydro-3,6,8-trihydoroxy-1(2H)-napthalenone",0,102.0,2.1,16.0,1.6
700,C00786,C16H14O5,(-)-Vestitone; Vestitone,0,150.0,2.125,27.0,1.6875
707,C00794,C6H14O6,D-Sorbitol; D-Glucitol; L-Gulitol; Sorbitol,0,98.0,2.1666666666666665,6.0,1.0
708,C00795,C6H12O6,D-Tagatose; lyxo-Hexulose,0,96.0,2.0,6.0,1.0
709,C00796,C19H12O6,Dicumarol; Dicoumarol,0,174.0,2.0,32.0,1.6842105263157894
712,C00799,C15H10O2,Isoflavone,0,116.0,2.2,28.0,1.8666666666666667
